fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_r2_mean,test_r2_std,test_neg_mean_squared_error_mean,test_neg_mean_squared_error_std,test_neg_median_absolute_error_mean,test_neg_median_absolute_error_std,encoder,data_id,data_name,cv,is_classification,n_samples,n_features,categorical features,openml_url
1.1186241626739502,0.1182904075520472,0.05967576503753662,0.00574236055797242,0.5168013265358823,0.004725382760852553,-12479567.381816035,171062.0996787014,-2179.5974488956963,21.531227733923025,drop,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
3.4935680389404298,0.5963584928665362,0.151625919342041,0.019697166030513455,0.5361263214345809,0.004575981849244698,-11980426.035316804,162518.18665014586,-2136.6972898868,18.589378716073668,SKOrdinalEncoder,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
3.7261560678482057,0.671099359156463,0.14822282791137695,0.018876432850014453,0.5367167731602845,0.004648299430965463,-11965245.909135085,168928.76648831303,-2132.54739683535,17.541184722439397,SKTargetEncoder,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
4.114822268486023,0.5530850149935677,0.10512380599975586,0.01746585998238085,0.5300688562336047,0.004555902101422595,-12136835.98240327,160831.2970602902,-2147.1509122226526,20.69905897897391,SKTargetEncoderCV,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
3.819784069061279,0.6709395021665594,0.14720461368560792,0.022215750524402177,0.5367167731602845,0.004648299430965463,-11965245.909135085,168928.76648831303,-2132.54739683535,17.541184722439397,SKTargetEncoderBS,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
4.149606609344483,0.3589811223245207,0.11105155944824219,0.009720936277775835,0.5303393829438676,0.005210878102465529,-12129888.284219848,176296.87792171648,-2148.983426535251,21.637903086384668,TargetRegressorEncoderCVBS,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
7.3881915807724,0.6217088262110451,0.22089550495147706,0.019367569799907842,0.5362375913417361,0.005024967651927651,-11977427.83298362,162249.5088318876,-2133.2337188172332,17.151780115322016,SKTargetRegressionBaggingEncoder,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
7.458035469055176,0.5487254707150926,0.22226767539978026,0.012636610526790984,0.5362375913417361,0.005024967651927651,-11977427.83298362,162249.5088318876,-2133.2337188172332,17.151780115322016,SKTargetRegressionBaggingEncoderBS,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
3.4983291625976562,0.7091798531781388,0.14737255573272706,0.021098402294036492,0.5367167731602845,0.004648299430965463,-11965245.909135085,168928.76648831303,-2132.54739683535,17.541184722439397,JamesSteinEncoder,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
2.8822446346282957,0.6057350103847537,0.10487895011901856,0.019360333287957675,0.52955212797645,0.005437949721842957,-12150251.546204166,182690.56052726353,-2146.8123233373544,19.575921009774525,JamesSteinEncoderCV,41540,black_friday,10,False,166821,9,4,https://www.openml.org/d/41540
