fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,test_roc_auc_mean,test_roc_auc_std,test_average_precision_mean,test_average_precision_std,encoder,data_id,data_name,cv,is_classification,n_samples,n_features,categorical features,openml_url
0.1292519330978393,0.0210507471082097,0.0070155143737792,0.0010418443637431,0.5740000000000001,0.0698856208386246,0.5662561576354679,0.0842598561677008,0.5342689499900112,0.0853451233561928,TargetRegressorEncoderCVBS,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
0.0410512924194335,0.0149781879305294,0.003289246559143,0.0004668440883687,0.5599999999999999,0.0409878030638383,0.4844827586206895,0.0616074907596581,0.4379565560328462,0.0467496504764868,drop,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
0.0503920078277587,0.0164116431637963,0.0116196393966674,0.0022849872261192,0.5840000000000001,0.0512249938994627,0.5243021346469623,0.0711100233212655,0.4796198308872689,0.0568635127142169,SKOrdinalEncoder,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
0.0698429584503173,0.0143155925168694,0.007601523399353,0.0011286336926918,0.584,0.0611882341631134,0.6122331691297209,0.0647845683056653,0.555695056956574,0.0813043145270764,SKTargetEncoder,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
0.137418508529663,0.0233328373267835,0.0081152915954589,0.0014322665812381,0.6160000000000001,0.0504380808516739,0.6141215106732347,0.1000807210854539,0.5770153727913911,0.1015542393816495,SKTargetEncoderCV,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
0.0610995769500732,0.0111347462688212,0.0085430145263671,0.001393898138087,0.616,0.052,0.6425287356321838,0.0672435345735256,0.5898978281578071,0.066228034221192,SKTargetEncoderBS,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
0.23027846813201905,0.0400028377985137,0.03766496181488037,0.003525657597601342,0.5980000000000001,0.06352952069707436,0.6274220032840723,0.08303070580779115,0.5775444672353603,0.09306867411508656,SKTargetRegressionBaggingEncoder,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
0.2132878065109253,0.04272818937526581,0.03631370067596436,0.001897329036740739,0.6,0.07155417527999326,0.648440065681445,0.07871658123272425,0.588322643401967,0.07724454266247566,SKTargetRegressionBaggingEncoderBS,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
0.167249321937561,0.0286005052840003,0.0361432790756225,0.0041420324384543,0.586,0.0726911273815449,0.6114942528735631,0.0621514469211618,0.5446946480700762,0.076836472466034,JamesSteinEncoder,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
0.6003024578094482,0.0248622455837059,0.0354018449783325,0.0037418624848817,0.588,0.0515363949069005,0.5947454844006568,0.0720657460967679,0.5600343417016087,0.0503818387902674,JamesSteinEncoderCV,23381,dresses_sales,10,True,500,12,11,https://www.openml.org/d/23381
