fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_r2_mean,test_r2_std,test_neg_mean_squared_error_mean,test_neg_mean_squared_error_std,test_neg_median_absolute_error_mean,test_neg_median_absolute_error_std,encoder,data_id,data_name,cv,is_classification,n_samples,n_features,categorical features,openml_url
0.7506558895111084,0.1881772211050127,0.0160491943359375,0.0031702555682732,0.8284245678308269,0.1177645236897745,-3610.013290412802,1505.0218191004635,-23.70948745409614,3.8580975897412513,drop,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
1.136717391014099,0.2920618365558535,0.0242066383361816,0.0047932735807751,0.8631852121610211,0.1052634362391203,-2793.2044434736767,1164.4801691246475,-20.57518505357994,3.1259208000570795,SKOrdinalEncoder,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
1.2299988985061645,0.3025490412941056,0.0245301246643066,0.0038323337983953,0.8561266108269926,0.1352128574325525,-2675.9721476054483,879.8087175511506,-20.12421212663629,2.902841951070693,SKTargetEncoder,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
1.4259671688079834,0.4170537833732716,0.0243244409561157,0.0059337439877535,0.7692359974920618,0.1193663951818536,-5478.046016851219,2679.005810571281,-27.187757879629164,6.121526015747649,SKTargetEncoderCV,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
1.3168698310852052,0.2328694898478284,0.025147533416748,0.0031894588371224,0.8448295513687191,0.1646142716752575,-2738.8336325188134,855.8920901696974,-20.97486429457482,3.0491265506897305,SKTargetEncoderBS,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
1.418859672546387,0.2512274386595484,0.0255921840667724,0.0040961313030056,0.856057349836977,0.1242232821331111,-2734.5927422775662,848.2888950965562,-20.52923703472142,2.32183572187036,TargetRegressorEncoderCVBS,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
1.4587641477584838,0.3416059220756862,0.0302248001098632,0.0047074622567981,0.8459879545156788,0.1647561408159542,-2714.6114848386446,859.2771109858523,-20.39083724857546,3.0339782178827,SKTargetRegressionBaggingEncoder,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
1.406238603591919,0.2567470607817024,0.0304288625717163,0.0032287481032094,0.8448295513687191,0.1646142716752575,-2738.8336325188134,855.8920901696974,-20.97486429457482,3.0491265506897305,SKTargetRegressionBaggingEncoderBS,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
1.315023159980774,0.270088923234378,0.030725073814392,0.0036460512490706,0.8561266108269926,0.1352128574325525,-2675.9721476054483,879.8087175511506,-20.12421212663629,2.902841951070693,JamesSteinEncoder,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
1.5656055212020874,0.2889370655936013,0.0343323230743408,0.0049582937207358,0.759117675841525,0.1527271761050399,-5496.305452793829,2691.604974348175,-28.34828399862808,6.391574964304474,JamesSteinEncoderCV,42712,Bike_Sharing_Demand,10,False,17379,12,4,https://www.openml.org/d/42712
