fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,test_roc_auc_mean,test_roc_auc_std,test_average_precision_mean,test_average_precision_std,encoder,data_id,data_name,cv,is_classification,n_samples,n_features,categorical features,openml_url
1.1162060976028443,0.06566712870419802,0.025203657150268555,0.0030532277352087445,0.7998005319148935,0.01474300182941569,0.8426634465061807,0.01359699107756178,0.6579402076216795,0.038087189456954246,TargetRegressorEncoderCVBS,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
0.1130979537963867,0.0161664355872316,0.0058810234069824,0.000999360423981,0.7865947372662798,0.0099198754924101,0.8186155298910796,0.0102071704902464,0.6269660672759279,0.0250373791139963,drop,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
0.2184588432312011,0.0443357975549719,0.0262229442596435,0.0036769381986902,0.7945486782720825,0.0088258561180335,0.8369596265661361,0.0149921413017058,0.6507425828934184,0.0376039235710096,SKOrdinalEncoder,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
0.4728883981704712,0.0621308989203799,0.0255906343460083,0.0027970386449015,0.732496776273372,0.0177551000871821,0.7319494631807218,0.0183099991109858,0.4813932920679047,0.0236683789677412,SKTargetEncoder,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
1.5054070472717285,0.0458214733823183,0.0251836776733398,0.0039116169040838,0.8007930367504837,0.0145807411663971,0.8436198364331589,0.0140912106336643,0.658827487586423,0.0378596809509848,SKTargetEncoderCV,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
0.3423840761184692,0.026388540008652,0.024127459526062,0.0026245409002811,0.7779233156028369,0.04234664998262,0.8086977364971485,0.0548171030049433,0.6066282575297761,0.1005435733491458,SKTargetEncoderBS,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
1.293978762626648,0.0324143578954898,0.083165168762207,0.0056149148939238,0.7378916827852998,0.0220900478716784,0.734736948348033,0.0206013249823609,0.4855383415005082,0.03263904341471,SKTargetRegressionBaggingEncoder,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
1.0226221084594729,0.0397748893396902,0.0812000513076782,0.0074634762834616,0.701824830754352,0.0805012273189395,0.7470908785969492,0.0603384080701363,0.5151820129214677,0.0834717483980634,SKTargetRegressionBaggingEncoderBS,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
0.3425840377807617,0.0459029784195058,0.0351617813110351,0.003044011536469,0.7322130883301095,0.0173031059817077,0.7325564873171577,0.0189688182280886,0.484383930357089,0.0269120832334744,JamesSteinEncoder,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
1.0104101181030274,0.0669889012376802,0.0352653980255126,0.0033009648581147,0.8020710428755642,0.0131247234305316,0.8418373274078169,0.0143038196764894,0.6568750647241106,0.0354881774956538,JamesSteinEncoderCV,42178,telco,10,True,7043,19,16,https://www.openml.org/d/42178
